,artist,album_name,album_uri,track,release_date,id,song_uri,track_href,analysis_url,type,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Sex Pistols,76-77,spotify:album:5ID28b03OO5d4sOTJN092i,Problems - Chris Spedding Session / 1976,2021-09-24,7lBkRfJjxCyvweq4i4Yf9n,spotify:track:7lBkRfJjxCyvweq4i4Yf9n,https://api.spotify.com/v1/tracks/7lBkRfJjxCyvweq4i4Yf9n,https://api.spotify.com/v1/audio-analysis/7lBkRfJjxCyvweq4i4Yf9n,audio_features,0.4,0.896,7,-13.928,1,0.0407,0.286,0.502,0.323,0.633,152.52,251893,4
1,Sex Pistols,76-77,spotify:album:5ID28b03OO5d4sOTJN092i,Pretty Vacant - Chris Spedding Session / 1976,2021-09-24,1qSI3gG2mraoLNTJzvN4hQ,spotify:track:1qSI3gG2mraoLNTJzvN4hQ,https://api.spotify.com/v1/tracks/1qSI3gG2mraoLNTJzvN4hQ,https://api.spotify.com/v1/audio-analysis/1qSI3gG2mraoLNTJzvN4hQ,audio_features,0.562,0.672,2,-13.605,1,0.0532,0.411,0.000594,0.122,0.348,141.16,218200,4
2,Sex Pistols,76-77,spotify:album:5ID28b03OO5d4sOTJN092i,No Feelings - Take 1 / Chris Spedding Session / 1976,2021-09-24,0q2mNWRTdn9DgA9oPALbfK,spotify:track:0q2mNWRTdn9DgA9oPALbfK,https://api.spotify.com/v1/tracks/0q2mNWRTdn9DgA9oPALbfK,https://api.spotify.com/v1/audio-analysis/0q2mNWRTdn9DgA9oPALbfK,audio_features,0.383,0.829,5,-12.322,1,0.0597,0.576,4.63e-06,0.194,0.772,166.53,172267,4
3,Sex Pistols,76-77,spotify:album:5ID28b03OO5d4sOTJN092i,No Feelings - Take 2 / Chris Spedding Session / 1976,2021-09-24,0vUljFdetQPwDIGOrBQ20T,spotify:track:0vUljFdetQPwDIGOrBQ20T,https://api.spotify.com/v1/tracks/0vUljFdetQPwDIGOrBQ20T,https://api.spotify.com/v1/audio-analysis/0vUljFdetQPwDIGOrBQ20T,audio_features,0.339,0.858,5,-13.166,1,0.0531,0.568,1.39e-06,0.114,0.715,169.849,174773,4
4,Sex Pistols,76-77,spotify:album:5ID28b03OO5d4sOTJN092i,No Feelings - Take 3 / Chris Spedding Session / 1976,2021-09-24,5DWsqldkkHsdHRYuC1Vw99,spotify:track:5DWsqldkkHsdHRYuC1Vw99,https://api.spotify.com/v1/tracks/5DWsqldkkHsdHRYuC1Vw99,https://api.spotify.com/v1/audio-analysis/5DWsqldkkHsdHRYuC1Vw99,audio_features,0.378,0.849,5,-12.917,1,0.0658,0.516,0.0,0.126,0.816,168.026,187133,4
5,Sex Pistols,76-77,spotify:album:5ID28b03OO5d4sOTJN092i,Submission - Dave Goodman Decibel Studio Session / 1976,2021-09-24,40f942pd73mOBZKZzZ1HDL,spotify:track:40f942pd73mOBZKZzZ1HDL,https://api.spotify.com/v1/tracks/40f942pd73mOBZKZzZ1HDL,https://api.spotify.com/v1/audio-analysis/40f942pd73mOBZKZzZ1HDL,audio_features,0.523,0.677,7,-10.91,0,0.0597,0.049,1.44e-05,0.31,0.493,121.785,251627,4
6,Sex Pistols,76-77,spotify:album:5ID28b03OO5d4sOTJN092i,Seventeen - Dave Goodman Decibel Studio Session / 1976,2021-09-24,53iKdVyMj3OdeXpGhKMXfi,spotify:track:53iKdVyMj3OdeXpGhKMXfi,https://api.spotify.com/v1/tracks/53iKdVyMj3OdeXpGhKMXfi,https://api.spotify.com/v1/audio-analysis/53iKdVyMj3OdeXpGhKMXfi,audio_features,0.341,0.957,9,-10.181,1,0.0672,0.00462,5.44e-06,0.287,0.471,134.913,129427,4
7,Sex Pistols,76-77,spotify:album:5ID28b03OO5d4sOTJN092i,Satellite - Dave Goodman Decibel Studio Session / 1976,2021-09-24,3b8Pr59ZWEuvs6gAZ5u1Eu,spotify:track:3b8Pr59ZWEuvs6gAZ5u1Eu,https://api.spotify.com/v1/tracks/3b8Pr59ZWEuvs6gAZ5u1Eu,https://api.spotify.com/v1/audio-analysis/3b8Pr59ZWEuvs6gAZ5u1Eu,audio_features,0.384,0.907,9,-10.36,1,0.0606,0.127,1.58e-05,0.113,0.381,134.782,247400,4
8,Sex Pistols,76-77,spotify:album:5ID28b03OO5d4sOTJN092i,I Wanna Be Me - Dave Goodman Decibel Studio Session / 1976,2021-09-24,7lDuK5Dvufl8DaOPXcIWBa,spotify:track:7lDuK5Dvufl8DaOPXcIWBa,https://api.spotify.com/v1/tracks/7lDuK5Dvufl8DaOPXcIWBa,https://api.spotify.com/v1/audio-analysis/7lDuK5Dvufl8DaOPXcIWBa,audio_features,0.244,0.88,9,-10.502,1,0.104,0.191,0.0,0.366,0.332,152.204,188880,4
9,Sex Pistols,76-77,spotify:album:5ID28b03OO5d4sOTJN092i,Pretty Vacant - Dave Goodman Decibel Studio Session / 1976,2021-09-24,6xAPsYCapk1LxU7pyZHdjU,spotify:track:6xAPsYCapk1LxU7pyZHdjU,https://api.spotify.com/v1/tracks/6xAPsYCapk1LxU7pyZHdjU,https://api.spotify.com/v1/audio-analysis/6xAPsYCapk1LxU7pyZHdjU,audio_features,0.439,0.904,9,-11.291,1,0.0586,0.0137,2.7e-06,0.11,0.313,141.012,209773,4
